time,gFx,gFy,gFz,TgF
0.006264,0.0474,-0.0369,0.9748,0.977
0.006835,0.0442,-0.0376,0.9672,0.969
0.007215,0.0618,-0.0305,0.9643,0.967
0.007563,0.0401,-0.0366,0.9723,0.974
0.007851,0.0410,-0.0376,0.9719,0.973
0.008115,0.0652,-0.0364,0.9584,0.961
0.008357,0.0423,-0.0330,0.9728,0.974
0.008595,0.0435,-0.0291,0.9628,0.964
0.008907,0.0469,-0.0283,0.9547,0.956
0.009168,0.0445,-0.0242,0.9828,0.984
0.009410,0.0462,-0.0264,0.9677,0.969
0.010663,0.0393,-0.0264,0.9526,0.954
0.020460,0.0601,-0.0269,0.9777,0.980
0.021193,0.0589,-0.0279,0.9904,0.993
0.021549,0.0564,-0.0266,0.9831,0.985
0.021811,0.0623,-0.0239,0.9860,0.988
0.022077,0.0601,-0.0242,0.9887,0.991
0.022319,0.0640,-0.0254,0.9887,0.991
0.027015,0.0721,-0.0249,0.9816,0.985
0.027531,0.0559,-0.0266,0.9804,0.982
0.029047,0.0708,-0.0305,0.9787,0.982
0.030100,0.0718,-0.0320,0.9692,0.972
0.032666,0.0493,-0.0298,0.9819,0.984
0.034208,0.0596,-0.0337,0.9819,0.984
0.036963,0.0374,-0.0330,0.9753,0.977
0.038262,0.0457,-0.0357,0.9890,0.991
0.041239,0.0337,-0.0376,0.9885,0.990
0.041614,0.0247,-0.0344,0.9772,0.978
0.044936,0.0376,-0.0344,0.9806,0.982
0.046912,0.0315,-0.0332,0.9775,0.979
0.048643,0.0320,-0.0347,0.9758,0.977
0.050793,0.0474,-0.0398,0.9721,0.974
0.053778,0.0381,-0.0344,0.9758,0.977
0.054187,0.0530,-0.0364,0.9792,0.981
0.064971,0.0484,-0.0327,0.9609,0.963
0.065551,0.0474,-0.0322,0.9748,0.976
0.065836,0.0611,-0.0418,0.9943,0.997
0.066070,0.0555,-0.0464,0.9697,0.972
0.066312,0.0667,-0.0364,0.9997,1.003
0.066542,0.0591,-0.0318,1.0031,1.005
0.069736,0.0491,-0.0237,0.9662,0.968
0.071930,0.0616,-0.0342,0.9557,0.958
0.073510,0.0579,-0.0315,0.9626,0.965
0.073933,0.0525,-0.0381,0.9701,0.972
0.079205,0.0621,-0.0386,0.9689,0.972
0.079720,0.0537,-0.0376,0.9704,0.973
0.080611,0.0396,-0.0318,0.9775,0.979
0.082388,0.0313,-0.0310,0.9657,0.967
0.085460,0.0296,-0.0300,0.9863,0.987
0.086374,0.0318,-0.0327,0.9904,0.991
0.088951,0.0327,-0.0300,0.9633,0.964
0.090099,0.0428,-0.0303,0.9826,0.984
0.093256,0.0437,-0.0298,0.9912,0.993
0.094600,0.0283,-0.0296,0.9782,0.979
0.096699,0.0322,-0.0252,0.9914,0.992
0.098211,0.0252,-0.0242,1.0048,1.005
0.100656,0.0166,-0.0215,0.9992,1.000
0.101996,0.0435,-0.0279,0.9860,0.987
0.105106,0.0430,-0.0281,0.9951,0.996
0.106947,0.0476,-0.0298,1.0097,1.011
0.109484,0.0665,-0.0357,1.0056,1.008
0.110548,0.0608,-0.0264,0.9919,0.994
0.113654,0.0603,-0.0279,1.0034,1.006
0.114122,0.0581,-0.0320,1.0048,1.007
0.116753,0.0584,-0.0281,0.9992,1.001
0.117807,0.0672,-0.0398,1.0043,1.007
0.120666,0.0669,-0.0381,0.9953,0.998
0.122397,0.0511,-0.0381,0.9968,0.999
0.124930,0.0547,-0.0386,1.0095,1.012
0.126325,0.0440,-0.0379,0.9999,1.002
0.130362,0.0533,-0.0366,0.9877,0.990
0.130823,0.0388,-0.0330,0.9968,0.998
0.132910,0.0320,-0.0305,1.0029,1.004
0.134378,0.0403,-0.0342,0.9941,0.995
0.136715,0.0396,-0.0322,0.9929,0.994
0.138150,0.0366,-0.0310,1.0031,1.004
0.140931,0.0408,-0.0376,0.9941,0.996
0.142229,0.0344,-0.0330,0.9951,0.996
0.145286,0.0552,-0.0340,1.0144,1.016
0.146236,0.0535,-0.0315,1.0068,1.009
0.148715,0.0491,-0.0259,0.9904,0.992
0.150468,0.0606,-0.0239,0.9955,0.998
0.154173,0.0491,-0.0271,0.9858,0.987
0.165803,0.0569,-0.0332,0.9843,0.987
0.166374,0.0711,-0.0437,0.9938,0.997
0.166781,0.0537,-0.0362,1.0056,1.008
0.167014,0.0555,-0.0379,1.0070,1.009
0.167239,0.0525,-0.0322,1.0002,1.002
0.167454,0.0428,-0.0318,1.0058,1.007
0.167670,0.0354,-0.0276,1.0029,1.004
0.169808,0.0362,-0.0279,1.0007,1.002
0.171535,0.0393,-0.0330,0.9980,0.999
0.174087,0.0327,-0.0320,0.9987,1.000
0.174537,0.0286,-0.0349,1.0122,1.013
0.179450,0.0386,-0.0357,1.0322,1.034
0.179982,0.0139,-0.0286,1.0166,1.017
0.180934,0.0132,-0.0252,1.0146,1.015
0.182577,0.0269,-0.0237,1.0136,1.014
0.185477,0.0259,-0.0322,1.0065,1.007
0.186543,0.0542,-0.0435,1.0190,1.021
0.189248,0.0564,-0.0403,1.0232,1.026
0.190590,0.0530,-0.0286,1.0329,1.035
0.192983,0.0479,-0.0283,1.0210,1.022
0.194999,0.0406,-0.0269,1.0134,1.015
0.196955,0.0489,-0.0322,1.0234,1.025
0.198529,0.0537,-0.0337,1.0170,1.019
0.200852,0.0589,-0.0393,1.0043,1.007
0.201956,0.0679,-0.0445,1.0061,1.009
0.205055,0.0770,-0.0440,1.0017,1.006
0.206756,0.0718,-0.0423,1.0031,1.007
0.209007,0.0689,-0.0420,1.0031,1.006
0.210483,0.0503,-0.0362,0.9919,0.994
0.213321,0.0469,-0.0403,1.0056,1.007
0.214265,0.0398,-0.0415,1.0078,1.009
0.217639,0.0337,-0.0362,1.0075,1.009
0.218042,0.0293,-0.0403,1.0117,1.013
