time,gFx,gFy,gFz,TgF
0.002720,0.0772,0.0542,0.8885,0.894
0.003048,0.0227,0.0708,0.9074,0.910
0.003252,0.0767,0.0498,0.9723,0.977
0.003445,0.0533,0.0479,0.8873,0.890
0.004437,0.1173,0.0335,0.8998,0.908
0.005899,0.1163,0.0308,0.9205,0.928
0.007527,0.0630,0.0669,0.9252,0.930
0.010022,0.0953,0.0423,0.8717,0.878
0.012673,0.0853,0.0643,0.8807,0.887
0.014207,0.0740,0.0493,0.9574,0.962
0.015857,0.0875,0.0555,0.9311,0.937
0.018037,0.0858,0.0591,0.8815,0.888
0.019624,0.0870,0.0428,0.9020,0.907
0.022178,0.0909,0.0633,0.9569,0.963
0.023603,0.0716,0.0489,0.9286,0.933
0.026777,0.0721,0.0462,0.9281,0.932
0.036552,0.0884,0.0374,0.8854,0.891
0.036957,0.0750,0.0503,0.8666,0.871
0.037135,0.0875,0.0530,0.8954,0.901
0.037300,0.1129,0.0511,1.0197,1.027
0.037479,0.0508,0.0816,0.9645,0.969
0.038235,0.1058,0.0511,0.8196,0.828
0.039900,0.1241,0.0388,0.7891,0.800
0.042209,0.0518,0.0393,0.8624,0.865
0.044418,0.0980,0.0498,0.9787,0.985
0.046201,0.1261,0.0393,0.9841,0.993
0.047808,0.0975,0.0467,0.9469,0.953
0.049826,0.0840,0.0606,0.9328,0.938
0.051811,0.0599,0.0618,0.8790,0.883
0.054195,0.0420,0.0581,0.8685,0.871
0.056623,0.0603,0.0381,0.9252,0.928
0.058734,0.0843,0.0728,0.9337,0.940
0.062934,0.0850,0.0271,0.9149,0.919
0.063276,0.1131,0.0523,0.8819,0.891
0.064257,0.0806,0.0606,0.8837,0.889
0.068837,0.0574,0.0662,0.9179,0.922
0.069181,0.0708,0.0564,0.9174,0.922
0.070092,0.0911,0.0442,0.9386,0.944
0.072091,0.0799,0.0261,0.9682,0.972
0.074197,0.0897,0.0472,0.9508,0.956
0.076715,0.0845,0.0845,0.8710,0.879
0.081450,0.1014,0.0369,0.9572,0.963
0.081891,0.1051,0.0486,0.9919,0.999
0.083346,0.0618,0.0459,0.9093,0.913
0.083620,0.0596,0.0748,0.9078,0.913
0.086062,0.0606,0.0569,0.9056,0.909
0.087913,0.0628,0.0523,0.9105,0.914
0.090319,0.0738,0.0374,0.9450,0.949
0.092219,0.1060,0.0428,0.9074,0.915
0.094535,0.0660,0.0601,0.8688,0.873
0.096317,0.0616,0.0596,0.8209,0.825
0.098275,0.0840,0.0464,0.9232,0.928
0.099834,0.1046,0.0450,0.9687,0.975
0.102587,0.1334,0.0359,0.9672,0.977
0.104174,0.0662,0.0757,0.9826,0.988
0.106101,0.0948,0.0589,0.9504,0.957
0.108689,0.0838,0.0594,0.9130,0.919
0.111854,0.0589,0.0315,0.8629,0.865
0.112254,0.1046,0.0210,0.9425,0.949
