time,gFx,gFy,gFz,TgF
0.003210,0.1241,-0.0171,0.9838,0.992
0.003574,0.1038,-0.0166,1.0593,1.065
0.003786,0.0845,-0.0315,0.9887,0.993
0.003975,0.1051,-0.0257,1.0117,1.017
0.004194,0.0821,-0.0252,1.0530,1.056
0.005061,0.1019,-0.0071,0.8903,0.896
0.007253,0.0542,-0.0039,0.9071,0.909
0.009147,0.1024,-0.0159,0.9374,0.943
0.011771,0.0831,-0.0384,0.9806,0.985
0.013070,0.1385,-0.0398,1.1087,1.118
0.015785,0.0906,-0.0266,1.1270,1.131
0.016623,0.0789,-0.0303,1.0070,1.011
0.019601,0.0899,0.0159,0.8790,0.884
0.021253,0.0581,-0.0208,0.8463,0.849
0.023763,0.0542,-0.0183,0.9078,0.910
0.024564,0.1534,-0.0359,1.0520,1.064
0.037174,0.1214,-0.0005,1.0234,1.031
0.037556,0.1036,-0.0117,0.9533,0.959
0.037717,0.1087,0.0029,0.9237,0.930
0.037874,0.0596,-0.0147,0.9535,0.956
0.038017,0.0403,0.0022,0.9648,0.966
0.038147,0.0691,-0.0298,1.0161,1.019
0.039961,0.1104,-0.0442,0.9897,0.997
0.040828,0.1038,-0.0137,1.0229,1.028
0.044371,0.1011,-0.0349,0.9875,0.993
0.044666,0.0445,0.0264,0.8744,0.876
0.048202,0.1077,-0.0176,1.0129,1.019
0.048523,0.0999,-0.0288,1.0791,1.084
0.051683,0.0880,-0.0364,0.9643,0.969
0.052724,0.1207,-0.0418,0.9792,0.987
0.055973,0.0989,-0.0540,1.0319,1.038
0.056937,0.0708,0.0305,0.9885,0.991
0.061557,0.0457,0.0061,0.9242,0.925
0.061892,0.0982,-0.0195,0.9494,0.955
0.063791,0.0816,-0.0432,0.9286,0.933
0.065070,0.1138,-0.0315,0.9792,0.986
0.067613,0.0882,-0.0144,1.0706,1.074
0.069232,0.0559,-0.0105,1.0368,1.038
0.071680,0.0826,-0.0010,0.9213,0.925
0.072882,0.0767,-0.0342,0.9565,0.960
0.078021,0.0840,0.0088,1.0232,1.027
0.078388,0.0814,-0.0217,1.0390,1.042
0.079998,0.0674,-0.0354,0.9931,0.996
0.081021,0.1385,-0.0279,0.9267,0.937
0.084274,0.0691,-0.0176,0.9662,0.969
0.084919,0.0616,0.0012,1.0097,1.012
0.087638,0.1046,-0.0283,1.0068,1.013
0.088925,0.1292,-0.0239,1.0649,1.073
0.091854,0.0305,-0.0332,1.0200,1.021
0.093091,0.1097,0.0227,0.9271,0.934
0.095779,0.0980,-0.0166,0.9618,0.967
0.097047,0.0887,-0.0178,0.9816,0.986
0.099976,0.1087,-0.0020,0.9589,0.965
0.101264,0.1048,-0.0198,0.9425,0.949
0.104169,0.1312,-0.0327,0.9269,0.937
0.105012,0.1090,-0.0088,0.9672,0.973
0.107660,0.0750,0.0149,1.0332,1.036
0.110099,0.0789,-0.0222,0.9122,0.916
0.112366,0.1363,-0.0335,0.8878,0.899
0.113135,0.1158,-0.0208,0.9985,1.005
0.116526,0.0498,-0.0105,1.0427,1.044
0.117012,0.0303,-0.0127,1.0048,1.005
0.120213,0.1502,-0.0149,0.9071,0.920
0.120947,0.0728,-0.0010,0.9142,0.917
0.123607,0.0679,-0.0076,1.0019,1.004
0.125078,0.0975,-0.0083,0.9914,0.996
0.127562,0.1043,-0.0450,0.9345,0.941
0.130339,0.1073,-0.0159,0.9860,0.992
0.131825,0.1009,0.0012,1.0200,1.025
0.133128,0.0581,-0.0132,0.9753,0.977
0.136022,0.1200,-0.0252,0.9237,0.932
0.137343,0.0818,-0.0217,0.9000,0.904
0.139882,0.0826,0.0029,0.9516,0.955
0.141249,0.0860,-0.0237,1.0684,1.072
0.145172,0.0943,-0.0293,0.9347,0.940
0.145774,0.1373,-0.0054,0.8717,0.882
0.151819,0.0423,-0.0203,0.9518,0.953
0.152404,0.1094,-0.0115,0.9894,0.996
0.152640,0.0999,-0.0476,0.9635,0.970
0.153158,0.1136,-0.0235,1.0395,1.046
0.155903,0.1480,-0.0203,1.0210,1.032
0.157248,0.0569,-0.0017,0.8744,0.876
0.159997,0.0843,-0.0171,0.8780,0.882
0.161142,0.1324,-0.0296,0.9697,0.979
0.164357,0.0552,-0.0125,1.0493,1.051
0.165708,0.1549,-0.0064,1.0505,1.062
0.167886,0.1187,-0.0200,1.0063,1.013
0.169448,0.0928,-0.0440,0.9059,0.912
0.171924,0.1202,0.0181,0.9115,0.920
0.173490,0.0862,-0.0149,0.9936,0.997
0.176743,0.0887,-0.0017,1.1468,1.150
0.177356,0.1280,-0.0354,0.9521,0.961
0.180319,0.1024,-0.0220,0.8727,0.879
0.182507,0.1388,-0.0086,0.9530,0.963
0.184373,0.0738,0.0010,0.9843,0.987
0.185689,0.1124,-0.0112,0.9406,0.947
0.187712,0.0941,-0.0100,1.0141,1.019
0.189246,0.1314,-0.0195,1.0491,1.057
0.193378,0.0657,-0.0205,0.8641,0.867
0.193728,0.0916,-0.0154,0.8661,0.871
0.196353,0.0875,-0.0132,1.0534,1.057
0.197523,0.0491,-0.0217,0.9792,0.981
0.200704,0.0432,0.0022,0.9460,0.947
0.201841,0.1246,-0.0562,0.9748,0.984
0.203936,0.0513,0.0178,0.9293,0.931
0.205333,0.0357,-0.0259,1.0236,1.025
0.208054,0.0577,-0.0095,1.0671,1.069
0.210267,0.0889,-0.0291,0.9670,0.971
0.211962,0.0862,-0.0254,0.9933,0.997
0.213100,0.0684,-0.0369,1.0188,1.022
0.215974,0.1214,0.0232,0.9293,0.938
0.218888,0.0388,-0.0239,0.9833,0.984
0.219992,0.1590,-0.0073,1.0549,1.067
0.221293,0.1185,-0.0183,0.9794,0.987
0.224047,0.1244,-0.0125,1.0141,1.022
0.227726,0.0752,-0.0332,0.9758,0.979
0.228130,0.0486,-0.0073,0.9269,0.928
0.229439,0.0818,-0.0166,0.9555,0.959
0.232679,0.1129,-0.0161,1.0200,1.026
0.233971,0.1048,-0.0269,1.0239,1.030
0.236561,0.1270,-0.0210,1.0515,1.059
0.238046,0.0530,-0.0093,0.9501,0.952
0.240769,0.0999,-0.0281,0.9440,0.950
0.241010,0.0914,-0.0112,1.0024,1.007
0.244033,0.0540,-0.0071,1.0068,1.008
0.246154,0.1195,-0.0318,0.9455,0.954
0.251271,0.1456,-0.0428,0.9555,0.967
0.251606,0.0987,-0.0154,1.0373,1.042
0.253465,0.1080,-0.0051,1.0691,1.075
0.253763,0.1031,-0.0198,0.9447,0.951
0.256311,0.1407,-0.0381,0.9201,0.932
0.258564,0.1510,-0.0117,1.0972,1.108
0.261857,0.0828,-0.0081,1.0725,1.076
0.262252,0.1087,-0.0083,0.9628,0.969
0.264356,0.1480,-0.0288,0.9655,0.977
0.265659,0.1112,-0.0203,1.0632,1.069
0.268798,0.1009,0.0054,1.0403,1.045
0.269109,0.1016,-0.0147,0.9907,0.996
0.271909,0.1222,-0.0393,0.9249,0.934
0.273851,0.0889,-0.0337,0.9474,0.952
0.276206,0.0845,-0.0225,1.0085,1.012
0.277229,0.0916,-0.0347,1.0764,1.081
0.280517,0.1412,-0.0281,1.0141,1.024
0.281078,0.1219,-0.0366,0.9731,0.981
0.283858,0.0508,0.0046,0.9902,0.991
0.285309,0.0332,-0.0107,1.0381,1.039
0.288000,0.0752,0.0029,0.9887,0.992
0.289193,0.1314,0.0049,0.9452,0.954
0.292872,0.1349,-0.0129,0.9208,0.931
0.293512,0.1182,-0.0220,0.9733,0.981
0.296130,0.1827,-0.0139,1.0332,1.049
0.297483,0.1131,-0.0386,1.0972,1.104
0.300517,0.0640,0.0083,1.0048,1.007
0.302038,0.0919,-0.0166,0.9770,0.981
0.304190,0.0848,0.0020,0.9980,1.002
0.305844,0.0535,-0.0305,0.9477,0.950
0.307989,0.1361,-0.0286,1.0229,1.032
0.310016,0.1400,-0.0437,1.0520,1.062
0.312230,0.1400,0.0029,0.9926,1.002
0.313330,0.1077,-0.0159,0.9870,0.993
0.316916,0.1033,-0.0127,0.9987,1.004
0.317256,0.0437,0.0073,0.9477,0.949
0.320952,0.0777,-0.0208,0.9833,0.987
0.321833,0.0511,-0.0279,0.9748,0.977
0.324666,0.0484,-0.0200,0.9701,0.972
0.325570,0.0994,-0.0381,1.0649,1.070
0.328282,0.0999,-0.0142,0.9943,0.999
0.329767,0.0963,0.0129,0.9291,0.934
0.333489,0.1114,-0.0247,1.0097,1.016
0.333794,0.0762,0.0032,1.0168,1.020
0.337082,0.1041,-0.0200,0.9440,0.950
0.338267,0.1224,-0.0198,0.9877,0.995
0.340932,0.0493,-0.0164,1.0307,1.032
0.341186,0.0665,-0.0401,0.9301,0.933
0.344327,0.0989,-0.0325,0.9296,0.935
0.345990,0.1383,-0.0222,1.0043,1.014
0.349073,0.0613,-0.0139,1.0784,1.080
0.349895,0.1312,0.0203,1.0410,1.049
0.352410,0.0721,-0.0293,0.8859,0.889
0.353841,0.1278,-0.0266,0.9528,0.962
0.356695,0.0826,0.0037,1.0026,1.006
0.358484,0.0836,0.0208,1.0036,1.007
0.361588,0.1116,-0.0281,1.0456,1.052
0.361927,0.0945,-0.0232,0.9012,0.906
0.364203,0.0684,-0.0115,0.8404,0.843
0.369632,0.1160,-0.0086,1.0481,1.055
0.370014,0.0892,-0.0086,1.0933,1.097
0.370234,0.1478,-0.0308,0.9132,0.926
0.372692,0.1722,-0.0203,0.9499,0.966
0.374037,0.1033,-0.0188,1.0344,1.040
0.375881,0.0967,-0.0020,0.9220,0.927
0.377208,0.1510,-0.0313,0.9303,0.943
0.380284,0.1241,-0.0120,1.0451,1.053
0.381502,0.1165,-0.0120,1.0241,1.031
0.384176,0.1207,-0.0076,1.0190,1.026
0.385458,0.1454,-0.0374,0.9975,1.009
0.388248,0.0406,-0.0083,0.9464,0.947
0.389449,0.0633,-0.0117,1.0351,1.037
0.392626,0.0836,-0.0247,1.0381,1.042
0.394460,0.0562,-0.0137,0.8898,0.892
0.396744,0.0970,-0.0269,0.9354,0.941
0.397676,0.1297,-0.0200,1.0183,1.027
0.400238,0.0428,-0.0161,1.0407,1.042
0.401773,0.1371,-0.0261,1.0339,1.043
0.404233,0.0635,-0.0220,0.9897,0.992
0.405353,0.0679,-0.0056,0.9406,0.943
0.408667,0.0677,-0.0227,0.9784,0.981
0.409892,0.0269,-0.0112,1.0605,1.061
0.412617,0.0594,-0.0293,1.0175,1.020
0.413777,0.0955,-0.0088,0.9848,0.989
0.416163,0.1170,-0.0235,0.9943,1.001
0.417566,0.1038,-0.0015,1.0146,1.020
0.420451,0.1055,-0.0017,1.0161,1.022
0.421779,0.1026,-0.0081,0.9557,0.961
0.424161,0.1038,-0.0428,0.9367,0.943
0.425625,0.0831,-0.0276,0.9733,0.977
0.428275,0.0989,-0.0364,0.9833,0.989
0.429159,0.1256,-0.0178,1.0009,1.009
0.432188,0.0948,-0.0244,1.0544,1.059
