time,gFx,gFy,gFz,TgF
0.004682,0.0352,0.0005,1.0344,1.035
0.005138,0.0550,0.0188,1.0285,1.030
0.005422,-0.0100,0.0076,0.9276,0.928
0.005652,-0.0164,0.0928,0.9315,0.936
0.005851,0.0127,0.0276,1.0979,1.098
0.006019,-0.0310,0.0511,1.0850,1.087
0.006186,0.0225,0.0081,0.9205,0.921
0.006340,0.0093,0.0467,1.0144,1.015
0.014934,-0.0181,0.0425,1.0806,1.082
0.015280,0.0120,0.0691,1.0017,1.004
0.015434,-0.0169,0.0288,0.9425,0.943
0.015550,0.0076,0.0044,0.9946,0.995
0.017173,-0.0022,0.0474,1.0144,1.015
0.018140,0.0418,0.0176,0.9736,0.975
0.021754,-0.0086,0.0300,0.9767,0.977
0.022101,-0.0051,0.0364,1.0097,1.010
0.027359,-0.0039,0.0325,1.0786,1.079
0.027865,-0.0437,0.0589,1.0105,1.013
0.029547,0.0398,0.0332,0.9325,0.934
0.031100,-0.0203,0.0227,0.9083,0.909
0.033836,-0.0271,0.0442,0.9186,0.920
0.034429,0.0337,0.0156,1.1162,1.117
0.037826,0.0095,0.0271,1.1524,1.153
0.038300,-0.0198,0.0156,0.9577,0.958
0.041758,-0.0010,0.0840,0.8775,0.882
0.042296,-0.0401,0.0640,0.9704,0.973
0.045638,-0.0220,0.0322,1.1495,1.150
0.046542,0.0491,0.0139,0.9990,1.000
0.050474,0.0046,0.0198,0.9569,0.957
0.050947,0.0024,0.0332,0.9894,0.990
0.053539,-0.0027,0.0540,0.9482,0.950
0.054050,0.0002,0.0247,0.9782,0.979
0.059484,-0.0061,0.0154,0.9914,0.992
0.060002,0.0059,0.0203,0.9899,0.990
0.062991,0.0391,0.0132,1.0542,1.055
0.063409,-0.0151,0.0261,0.9623,0.963
0.065536,0.0379,0.0276,0.9015,0.903
0.066553,0.0298,0.0274,0.9728,0.974
0.069618,-0.0142,0.0393,1.0420,1.043
0.070306,0.0217,0.0572,1.0258,1.028
0.075340,0.0332,0.0083,1.0400,1.041
0.075961,-0.0034,0.0428,0.9494,0.950
0.078427,-0.0127,0.0467,0.8753,0.877
0.078973,-0.0020,0.0855,0.9591,0.963
0.082111,-0.0354,-0.0166,1.0815,1.082
0.082601,0.1051,0.0134,0.9164,0.922
0.085496,0.0481,0.0242,0.8543,0.856
0.086719,-0.0257,0.0486,1.0136,1.015
0.090465,0.0086,0.0584,1.0373,1.039
0.092524,0.0335,0.0450,0.9740,0.976
0.093996,0.0515,0.0183,0.9936,0.995
0.094435,-0.0081,0.0322,1.0410,1.042
0.097880,-0.0398,0.0684,1.0109,1.014
0.098350,-0.0371,0.0564,1.0048,1.007
0.102402,-0.0125,0.0357,0.9591,0.960
0.102835,-0.0164,0.0061,0.9653,0.965
0.105528,-0.0059,0.0159,0.9933,0.993
0.106556,-0.0425,0.0481,0.9877,0.990
0.110030,-0.0347,0.0489,0.9692,0.971
0.112436,-0.0459,0.0020,0.9780,0.979
0.113606,0.0171,0.0244,1.0170,1.017
0.114563,-0.0545,0.0154,1.0632,1.065
0.117498,-0.0215,0.0391,0.9946,0.996
0.118250,-0.0408,0.0379,0.8800,0.882
0.121630,-0.0098,0.0520,0.8859,0.887
0.122242,-0.0193,0.0254,1.0578,1.058
0.134015,-0.0044,0.0281,1.0456,1.046
0.134586,0.0266,0.0310,0.9811,0.982
0.134929,-0.0330,0.0386,0.9921,0.993
0.135222,-0.0528,0.0279,0.9208,0.923
0.135471,-0.0420,0.0166,0.9467,0.948
0.135705,-0.0252,0.0134,1.0200,1.020
0.137642,0.0007,0.0305,1.0381,1.039
0.138512,-0.0366,0.0213,1.0041,1.005
0.143143,0.0188,0.0142,0.9130,0.913
0.143667,-0.0232,0.0403,1.0578,1.059
0.145847,0.0208,0.0188,1.1368,1.137
0.146537,0.0061,0.0454,0.9679,0.969
0.150000,0.0550,0.0630,0.8314,0.836
0.150515,-0.0476,-0.0068,1.0014,1.003
0.153453,-0.0007,0.0186,1.0136,1.014
0.154641,0.0493,0.0078,0.9743,0.976
0.158612,0.0713,0.0090,1.0258,1.028
0.159254,0.0537,0.0181,0.9665,0.968
0.161857,0.0044,0.0562,0.8949,0.897
0.162743,0.0452,0.0042,1.0244,1.025
0.166153,0.0286,0.0110,1.0351,1.036
0.166582,0.0332,-0.0149,1.0029,1.004
0.170584,0.0093,0.0559,0.9577,0.959
0.171052,0.0210,0.0469,0.9350,0.936
0.174159,-0.0046,0.0205,0.9406,0.941
0.174560,0.0054,0.0452,0.9792,0.980
0.177716,0.0340,0.0056,1.0461,1.047
0.178979,0.0853,0.0032,0.9692,0.973
0.181817,0.0283,0.0010,0.8666,0.867
0.182602,0.0410,0.0555,0.9012,0.904
0.185826,0.0217,0.0220,1.0977,1.098
0.186495,0.0447,0.0061,1.1206,1.122
0.190346,0.0078,0.0237,0.9567,0.957
0.190790,-0.0242,0.0591,0.8446,0.847
0.194194,0.0012,0.0557,0.8895,0.891
0.196058,-0.0178,0.0498,0.9919,0.993
0.197443,0.0567,-0.0193,1.0385,1.040
0.198340,0.0501,0.0059,1.0148,1.016
0.202014,0.0081,0.0472,0.9699,0.971
0.202468,-0.0242,0.0364,0.9604,0.961
0.205886,-0.0413,0.0603,0.9987,1.001
0.206591,-0.0347,0.0210,0.9450,0.946
0.209766,0.0178,0.0447,0.9201,0.921
