time,gFx,gFy,gFz,TgF
0.005632,0.1094,-0.0303,0.9511,0.958
0.006118,0.1361,-0.0208,1.0381,1.047
0.006467,0.1322,-0.0357,1.0432,1.052
0.006767,0.1160,0.0037,1.0341,1.041
0.007009,0.0923,0.0176,1.0217,1.026
0.007232,0.0748,-0.0081,1.0129,1.016
0.007513,0.1163,-0.0056,0.9484,0.956
0.007743,0.0406,-0.0147,0.9780,0.979
0.008127,0.1266,-0.0476,1.0395,1.048
0.014738,0.1527,-0.0384,1.0105,1.023
0.015092,0.1231,-0.0139,0.9628,0.971
0.015270,0.0880,0.0210,1.0410,1.045
0.015937,0.0723,0.0213,1.0310,1.034
0.017236,0.1026,-0.0095,0.9975,1.003
0.020045,0.1102,-0.0266,0.9535,0.960
0.020977,0.1182,-0.0186,0.9985,1.006
0.026528,0.0928,-0.0359,1.0478,1.053
0.026933,0.0836,0.0093,1.0263,1.030
0.028298,0.1053,-0.0117,0.9286,0.935
0.029442,0.1583,-0.0010,0.9301,0.943
0.032391,0.0892,0.0095,0.9596,0.964
0.033412,0.1114,-0.0093,1.0266,1.033
0.036207,0.1434,-0.0252,1.0532,1.063
0.037341,0.0884,0.0088,1.0432,1.047
0.039962,0.0193,-0.0154,0.9907,0.991
0.041573,0.0638,0.0173,0.9811,0.983
0.044184,0.0518,-0.0020,0.9675,0.969
0.045113,0.0818,-0.0354,0.9660,0.970
0.047722,0.1060,-0.0059,1.0185,1.024
0.048985,0.1138,-0.0015,1.0481,1.054
0.052116,0.0489,-0.0044,1.0232,1.024
0.052872,0.0858,0.0012,0.9899,0.994
0.056225,0.0354,0.0022,1.0043,1.005
0.057530,0.0662,0.0081,1.0241,1.026
0.060009,0.0366,-0.0037,1.0266,1.027
0.060960,0.0432,-0.0122,1.0068,1.008
0.063927,0.0723,-0.0264,0.9806,0.984
0.065002,0.0867,0.0007,0.9660,0.970
0.068158,0.0586,-0.0176,1.0522,1.054
0.069209,0.0665,0.0059,1.0830,1.085
0.071971,0.0083,0.0002,1.0290,1.029
0.074047,0.0435,-0.0107,0.9784,0.979
0.076678,0.0249,-0.0044,0.9853,0.986
0.077425,0.0467,-0.0169,0.9982,0.999
0.079890,0.0740,-0.0137,1.0527,1.055
0.081262,0.0945,-0.0181,1.0581,1.062
0.084028,0.1102,-0.0225,1.0517,1.058
0.085548,0.0112,0.0347,1.0346,1.035
0.088251,0.0472,0.0078,1.0126,1.014
0.089352,0.0616,-0.0171,1.0122,1.014
0.093341,0.0149,-0.0068,0.9980,0.998
0.094079,0.1417,-0.0156,1.0276,1.037
0.096289,0.1119,-0.0151,1.0701,1.076
0.097169,0.0889,-0.0073,1.0434,1.047
0.100052,0.1178,-0.0132,0.9877,0.995
0.101175,0.0542,-0.0076,1.0034,1.005
0.104174,0.0728,0.0195,1.0422,1.045
0.105238,0.0872,-0.0015,1.0754,1.079
0.108258,0.1097,-0.0100,1.0170,1.023
0.109420,0.0708,-0.0208,0.9484,0.951
0.112421,0.0779,-0.0098,0.9782,0.981
0.113419,0.1334,-0.0195,1.0400,1.049
0.116270,0.1080,0.0022,1.0745,1.080
0.117337,0.0691,0.0020,1.0664,1.069
0.120229,0.0657,0.0149,0.9848,0.987
0.121762,0.1419,-0.0347,0.9376,0.949
0.130832,0.1554,-0.0017,1.0327,1.044
0.131337,0.1094,-0.0071,1.0754,1.081
0.131668,0.1263,0.0066,1.0852,1.093
0.131923,0.1053,0.0081,1.0014,1.007
0.132232,0.1324,-0.0068,0.9760,0.985
0.133505,0.0941,-0.0171,1.0139,1.018
0.135800,0.1026,0.0374,1.0349,1.041
0.136947,0.0985,0.0342,1.0205,1.026
0.141079,0.1226,-0.0232,0.9679,0.976
0.141932,0.1652,-0.0247,0.9430,0.958
0.145717,0.1309,0.0002,1.0459,1.054
0.146241,0.1026,-0.0125,1.0864,1.091
0.148010,0.1107,0.0105,1.0188,1.025
0.149310,0.1094,0.0056,0.9848,0.991
0.152814,0.0980,0.0061,0.9963,1.001
0.153248,0.0489,0.0020,1.0114,1.013
0.156218,0.1055,-0.0132,0.9970,1.003
0.158295,0.1019,-0.0042,1.0117,1.017
0.160300,0.1146,-0.0110,1.0021,1.009
0.161629,0.0660,-0.0022,1.0097,1.012
0.164325,0.0806,-0.0083,1.0263,1.030
0.165271,0.0657,0.0139,1.0014,1.004
0.168118,0.0633,0.0022,0.9738,0.976
0.169198,0.0784,-0.0186,1.0195,1.023
0.172225,0.0684,-0.0049,1.0300,1.032
0.174500,0.0999,-0.0210,0.9868,0.992
0.176541,0.0999,-0.0115,1.0530,1.058
0.177321,0.0279,-0.0098,1.0175,1.018
0.180018,0.0816,0.0183,0.9872,0.991
0.181157,0.0816,0.0125,0.9931,0.997
0.184527,0.0599,0.0024,1.0319,1.034
0.185173,0.0574,0.0020,1.0151,1.017
0.188476,0.1329,-0.0215,0.9772,0.986
0.189471,0.1126,-0.0391,1.0009,1.008
0.192506,0.1053,0.0144,1.0508,1.056
0.193417,0.0955,0.0037,1.0354,1.040
0.196401,0.0674,0.0283,0.9992,1.002
0.197885,0.0877,-0.0486,0.9850,0.990
0.200225,0.1129,-0.0325,0.9767,0.984
0.201441,0.1051,0.0093,0.9814,0.987
0.204237,0.1393,-0.0149,1.0708,1.080
0.205340,0.1112,-0.0279,1.0737,1.080
0.208462,0.0660,0.0210,0.9880,0.990
0.210095,0.0994,0.0166,0.9946,1.000
0.212283,0.1138,-0.0225,0.9853,0.992
0.213311,0.1258,-0.0159,1.0043,1.012
0.216446,0.1112,-0.0002,1.0659,1.072
0.217600,0.1266,-0.0364,1.0982,1.106
0.220188,0.1556,-0.0257,1.0789,1.090
0.221599,0.0669,0.0086,1.0302,1.032
0.231547,0.1285,0.0005,0.9968,1.005
0.232089,0.1134,0.0068,0.9782,0.985
0.232361,0.1581,0.0078,1.0158,1.028
0.232597,0.1393,-0.0210,1.0361,1.046
