time,gFx,gFy,gFz,TgF
0.003023,0.0784,-0.0420,0.9455,0.950
0.003400,0.0559,-0.0208,0.9401,0.942
0.003647,0.0310,-0.0274,0.9362,0.937
0.003871,0.0376,-0.0322,0.9540,0.955
0.004045,0.0611,-0.0376,0.9653,0.968
0.004205,0.0706,-0.0342,0.9662,0.969
0.004366,0.0784,-0.0557,0.9513,0.956
0.004532,0.0901,-0.0484,0.9577,0.963
0.007873,0.0730,-0.0472,0.9933,0.997
0.008690,0.0691,-0.0396,0.9770,0.980
0.011984,0.0166,-0.0166,0.9643,0.965
0.012883,0.0454,-0.0440,0.9853,0.987
0.016036,0.0125,-0.0386,0.9560,0.957
0.017338,0.0296,-0.0376,0.9401,0.941
0.020513,0.0579,-0.0310,0.9342,0.937
0.020918,0.0894,-0.0386,0.9403,0.945
0.032328,0.0606,-0.0366,0.9442,0.947
0.032803,0.0430,-0.0264,0.9308,0.932
0.033036,0.0305,-0.0274,0.9484,0.949
0.033222,0.0354,-0.0271,0.9501,0.951
0.033389,0.0384,-0.0379,0.9147,0.916
0.033641,0.0217,-0.0173,0.9555,0.956
0.035933,0.0872,-0.0562,0.9665,0.972
0.036661,0.0794,-0.0364,0.9442,0.948
0.040295,0.0428,-0.0340,0.9623,0.964
0.040704,0.0242,0.0020,0.9398,0.940
0.043742,-0.0288,-0.0066,0.9359,0.936
0.044623,0.0599,-0.0347,0.9535,0.956
0.047861,0.0574,-0.0513,0.9657,0.969
0.048633,0.0613,-0.0489,0.9750,0.978
0.052607,0.0730,-0.0134,0.9699,0.973
0.052909,0.0437,-0.0007,0.9728,0.974
0.058851,0.0452,-0.0227,0.9428,0.944
0.059227,0.0386,-0.0332,0.8939,0.895
0.060034,0.0393,-0.0384,0.9247,0.926
0.063825,0.0594,-0.0308,1.0026,1.005
0.064160,0.0708,-0.0266,0.9948,0.998
0.065346,0.0489,-0.0269,0.9604,0.962
0.068170,0.0310,-0.0281,0.9762,0.977
0.069296,0.0222,-0.0198,0.9990,0.999
0.072255,0.0086,-0.0244,0.9877,0.988
0.073770,0.0068,-0.0420,0.9555,0.956
0.076754,0.0371,-0.0173,0.9274,0.928
0.077141,0.0396,-0.0418,0.9477,0.949
0.080681,0.0562,-0.0408,1.0136,1.016
0.081048,0.0694,-0.0252,0.9941,0.997
0.084113,0.0564,-0.0186,0.9699,0.972
0.085713,0.0665,-0.0176,0.9301,0.933
0.088568,0.0398,-0.0347,0.8773,0.879
0.088883,0.0239,-0.0484,0.9486,0.950
0.092919,0.0369,-0.0457,0.9755,0.977
0.093321,0.0711,-0.0428,0.9819,0.985
0.096166,0.0796,-0.0342,0.9787,0.983
0.096796,0.0432,-0.0220,0.9601,0.961
0.100046,0.0066,-0.0029,0.9235,0.924
0.100877,0.0340,-0.0264,0.9804,0.981
0.104414,0.0296,-0.0357,0.9511,0.952
0.104700,0.0479,-0.0171,0.9313,0.933
0.109049,0.0318,-0.0322,0.9635,0.965
0.109484,0.0315,-0.0259,0.9877,0.989
0.112173,0.0467,-0.0428,0.9760,0.978
0.112808,0.0274,-0.0139,0.9562,0.957
0.115706,0.0230,-0.0415,0.9846,0.986
0.116780,0.0530,-0.0293,0.9521,0.954
0.119953,0.0349,-0.0315,0.9567,0.958
0.120645,0.0450,-0.0428,1.0156,1.017
0.124121,0.0305,-0.0173,0.9833,0.984
0.124801,0.0274,-0.0132,0.9689,0.969
0.128238,0.0300,-0.0239,0.9587,0.959
0.129102,0.0208,-0.0428,0.9122,0.913
0.131981,0.0472,-0.0430,0.9350,0.937
0.132741,0.0581,-0.0332,0.9565,0.959
0.136166,0.0269,-0.0445,0.9474,0.949
0.136769,0.0217,-0.0457,0.9482,0.950
0.140125,0.0403,-0.0454,0.9677,0.970
0.140847,0.0098,-0.0476,0.9775,0.979
0.143704,-0.0034,-0.0296,1.0168,1.017
0.144837,0.0171,-0.0484,1.0234,1.025
0.148018,0.0215,-0.0269,0.9401,0.941
0.148846,0.0134,-0.0259,0.9078,0.908
0.152497,0.0127,-0.0281,0.9684,0.969
0.153269,0.0093,-0.0479,0.9697,0.971
0.159073,0.0833,-0.0403,0.9784,0.983
0.159456,0.0745,-0.0379,0.9833,0.987
0.160449,0.0103,-0.0173,0.9846,0.985
0.160747,0.0259,-0.0308,0.9719,0.973
0.164127,0.0420,-0.0266,0.9748,0.976
0.165237,0.0076,-0.0498,0.9897,0.991
0.168153,0.0901,-0.0120,0.9728,0.977
0.169188,0.0257,-0.0347,0.9135,0.914
0.173138,0.0699,-0.0061,0.9372,0.940
0.173606,0.0459,-0.0322,0.9486,0.950
0.176453,0.0195,-0.0181,1.0102,1.011
0.176987,0.0606,-0.0296,0.9430,0.945
0.180569,0.0232,-0.0200,0.9179,0.918
0.181162,0.0044,-0.0242,0.9618,0.962
0.184318,0.0408,-0.0401,0.9460,0.948
0.185384,0.0430,-0.0388,1.0065,1.008
0.187908,0.0831,-0.0107,1.0410,1.044
0.189554,-0.0220,-0.0129,0.9921,0.992
0.192339,0.0349,-0.0029,0.9450,0.946
0.193343,0.0401,-0.0430,0.9091,0.911
0.196845,-0.0161,-0.0169,0.9618,0.962
0.197543,0.0638,-0.0347,0.9977,1.000
0.200515,0.0486,-0.0220,0.9293,0.931
0.200782,0.0191,-0.0342,0.9030,0.904
0.204804,0.0559,-0.0342,0.9347,0.937
0.206807,0.0332,-0.0276,1.0034,1.004
0.208741,0.0252,-0.0381,0.9892,0.990
0.209288,0.0366,-0.0002,0.9398,0.941
0.212117,0.0171,-0.0286,0.9176,0.918
0.213211,0.0281,-0.0305,0.9298,0.931
0.216086,0.0259,-0.0354,0.9582,0.959
0.216958,0.0283,-0.0322,1.0090,1.010
0.220172,0.0244,-0.0191,0.9494,0.950
0.220990,0.0442,-0.0215,0.9320,0.933
0.224241,0.0325,-0.0261,0.9078,0.909
0.225321,0.0711,-0.0227,0.9413,0.944
0.229549,0.0713,-0.0650,0.9555,0.960
0.229853,0.0557,-0.0310,0.9738,0.976
0.231928,0.0291,-0.0232,0.9794,0.980
0.233071,0.0596,-0.0430,0.9672,0.970
0.236007,0.0498,-0.0415,0.9291,0.931
0.237024,0.0349,-0.0379,0.9137,0.915
0.240053,0.0687,-0.0139,0.9887,0.991
0.241350,0.0181,-0.0352,0.9850,0.986
0.244206,0.0767,-0.0445,0.9367,0.941
0.245205,0.0821,-0.0274,0.9154,0.919
0.248355,0.0523,-0.0369,1.0070,1.009
0.249197,0.0222,-0.0220,1.0039,1.004
0.252443,0.0801,-0.0386,0.9530,0.957
0.252776,0.0364,-0.0181,0.9113,0.912
0.258742,0.0279,-0.0210,0.9311,0.932
0.259170,0.0403,-0.0418,0.9186,0.920
0.260369,0.0650,-0.0472,0.9169,0.920
0.261299,0.0909,-0.0643,0.9284,0.935
0.264722,0.0684,-0.0149,0.9833,0.986
0.265041,0.0440,-0.0129,0.9745,0.976
0.268566,0.0005,-0.0464,0.9135,0.915
0.269104,0.0486,-0.0332,0.8978,0.900
0.272229,0.0166,-0.0408,0.9037,0.905
0.273774,0.0357,-0.0528,0.9543,0.956
0.277127,0.0603,-0.0325,0.9591,0.962
0.277544,0.0347,-0.0151,0.9513,0.952
0.280281,0.0293,-0.0379,0.9022,0.903
0.281216,0.0161,-0.0386,0.8758,0.877
0.284382,0.0010,-0.0440,0.9113,0.912
0.284913,0.0364,-0.0398,0.9811,0.983
0.289097,0.0577,-0.0413,0.9479,0.951
0.289487,0.0413,-0.0393,0.9281,0.930
0.292876,0.0242,-0.0186,0.9232,0.924
0.293303,0.0376,-0.0176,0.9159,0.917
0.296767,0.0073,-0.0269,0.8907,0.891
