time,wx (rad/s),wy (rad/s),wz (rad/s)
0.004101,-0.01,-0.01,0.01
0.004438,0.00,-0.03,-0.00
0.004635,0.00,0.02,-0.00
0.004824,-0.03,0.05,0.00
0.006016,-0.00,-0.04,-0.01
0.006174,0.02,-0.06,0.00
0.006303,-0.01,0.03,0.01
0.007448,-0.01,0.03,-0.01
0.009952,0.01,-0.04,0.00
0.011384,-0.00,-0.03,0.00
0.012526,-0.01,0.02,-0.01
0.015526,-0.01,0.01,0.01
0.016271,-0.01,0.01,0.00
0.019007,-0.00,-0.00,-0.00
0.020215,-0.01,0.03,-0.00
0.023380,-0.01,0.02,-0.01
0.037833,-0.00,-0.01,-0.00
0.038208,-0.00,0.01,0.00
0.038384,-0.01,0.02,0.00
0.038507,-0.01,-0.00,-0.00
0.038638,-0.00,-0.03,0.00
0.038759,0.00,0.00,0.01
0.038878,-0.01,0.03,0.01
0.039536,-0.01,0.04,-0.00
0.041842,-0.01,-0.00,-0.00
0.043908,-0.01,-0.02,-0.00
0.044921,-0.00,-0.01,0.00
0.048106,-0.01,0.03,0.00
0.048406,-0.00,0.00,-0.01
0.051454,0.00,-0.01,0.00
0.052347,-0.02,0.00,0.00
0.055441,0.01,-0.01,-0.01
0.056610,0.00,-0.00,0.00
0.059531,-0.02,0.00,-0.00
0.060796,0.00,-0.00,0.00
0.063413,-0.01,0.03,0.00
0.064802,-0.01,0.03,-0.00
0.067616,-0.00,-0.01,-0.00
0.068418,-0.01,0.00,-0.01
0.071508,-0.01,-0.02,0.01
0.072267,-0.01,-0.00,-0.02
0.083650,-0.01,0.01,-0.00
0.084019,-0.00,-0.01,-0.01
0.084155,0.01,0.00,-0.01
0.084276,-0.02,0.01,0.00
0.084394,0.01,-0.04,-0.00
0.084516,0.01,-0.02,-0.00
0.087500,-0.02,0.00,0.00
0.088307,0.00,0.01,0.00
0.092281,-0.00,0.03,-0.00
0.092628,-0.01,-0.01,-0.01
0.095613,-0.00,-0.02,-0.01
0.096594,-0.00,0.01,-0.00
0.100124,-0.01,0.01,-0.00
0.100391,-0.00,-0.01,-0.00
0.103778,-0.01,0.02,0.00
0.105054,-0.02,0.00,-0.01
0.108545,0.00,-0.04,0.01
0.108958,-0.00,0.02,-0.01
0.111415,-0.01,0.01,0.00
0.112847,-0.01,-0.03,0.00
0.115870,0.01,-0.04,-0.00
0.116577,-0.01,0.08,-0.00
0.119566,-0.02,0.07,0.01
0.120560,-0.01,-0.03,-0.01
0.123532,0.01,-0.06,0.00
0.125097,-0.01,0.01,-0.01
0.128156,-0.00,0.02,0.00
0.128509,-0.01,0.02,-0.00
0.131653,-0.01,-0.01,0.01
0.132667,-0.00,-0.01,-0.00
0.135664,-0.01,0.02,-0.00
0.136392,-0.02,0.02,-0.02
0.139308,-0.00,-0.01,0.01
0.141218,0.00,-0.04,0.01
0.143507,-0.01,0.00,-0.00
0.144616,-0.00,0.02,0.00
0.147939,-0.00,-0.01,0.00
0.149039,-0.00,0.00,-0.01
0.151275,-0.02,0.04,0.00
0.152359,-0.01,0.01,-0.00
0.155507,-0.00,-0.00,-0.01
0.156578,-0.01,-0.02,0.00
0.159989,0.01,-0.06,0.01
0.161574,0.01,-0.04,-0.00
0.164295,-0.02,0.06,-0.00
0.164560,-0.00,-0.01,0.00
0.167636,0.01,-0.02,-0.00
0.168388,-0.01,0.01,-0.01
0.171325,-0.02,0.00,-0.00
0.172448,0.00,-0.01,-0.01
0.177395,-0.00,-0.01,0.01
0.177758,-0.01,-0.01,0.00
0.183196,-0.00,0.02,-0.00
0.183535,-0.00,0.03,-0.01
0.183698,-0.02,-0.03,0.00
0.184672,0.00,-0.04,0.00
0.187684,0.00,-0.01,0.00
0.188475,-0.01,0.05,0.00
0.192505,-0.01,-0.02,0.00
0.193057,0.01,-0.01,-0.00
0.195683,-0.01,0.02,-0.01
0.196772,-0.01,0.03,-0.01
0.199580,-0.01,-0.04,-0.01
0.200483,0.01,-0.07,-0.00
0.203927,0.01,-0.01,0.00
0.205494,-0.01,0.04,-0.00
