time,gFx,gFy,gFz,TgF
0.002889,-0.0362,0.0169,0.9880,0.989
0.003275,-0.1461,0.0528,0.8783,0.892
0.003534,-0.1261,0.0542,0.8438,0.855
0.003770,-0.0963,0.0396,0.8661,0.872
0.003926,-0.0708,0.0181,0.9220,0.925
0.004066,-0.0464,0.0054,0.9296,0.931
0.004217,-0.0242,0.0139,0.9267,0.927
0.011686,-0.0418,0.0257,0.9022,0.904
0.012029,-0.0972,0.0493,0.8837,0.890
0.012180,-0.1075,0.0491,0.8805,0.888
0.012322,-0.1141,0.0227,0.9142,0.922
0.013698,-0.0652,-0.0156,0.9433,0.946
0.015521,-0.0442,-0.0191,0.9530,0.954
0.017016,-0.0765,0.0007,1.0170,1.020
0.029961,-0.0528,0.0376,0.9836,0.986
0.030472,-0.0994,0.0792,0.8954,0.904
0.030700,-0.1246,0.0945,0.8959,0.909
0.030875,-0.0818,0.0423,0.8680,0.873
0.031043,-0.0540,0.0032,0.8780,0.880
0.031184,-0.0493,-0.0042,0.9376,0.939
0.031329,-0.0274,-0.0086,0.9442,0.945
0.033441,-0.0718,0.0110,0.8641,0.867
0.037484,-0.0848,0.0376,0.9135,0.918
0.037943,-0.1002,0.0403,0.9413,0.947
0.039689,-0.1339,0.0286,0.9533,0.963
0.041089,-0.0699,0.0066,0.8932,0.896
0.043539,-0.0647,0.0098,0.8685,0.871
0.045491,-0.1114,0.0188,0.8785,0.886
0.047361,-0.0696,0.0181,0.9325,0.935
0.049945,-0.0938,0.0044,0.9176,0.922
0.051489,-0.1214,-0.0064,0.9000,0.908
0.053592,-0.1532,0.0418,0.9538,0.967
0.055933,-0.1630,0.0652,0.9342,0.951
0.057048,-0.1441,0.0581,0.8736,0.887
0.059784,-0.1099,0.0169,0.8744,0.881
0.061441,-0.0779,-0.0046,0.9594,0.963
0.063530,-0.0623,-0.0054,0.9782,0.980
0.065130,-0.0171,0.0137,0.9723,0.973
0.067170,-0.0259,0.0274,0.9281,0.929
0.069645,-0.0750,0.0479,0.8793,0.884
0.071341,-0.1019,0.0493,0.8995,0.907
0.073458,-0.0574,0.0340,0.9880,0.990
0.075424,-0.0315,0.0227,0.9401,0.941
0.077506,-0.0362,0.0149,0.9144,0.915
0.079462,-0.0525,0.0127,0.9758,0.977
0.081606,-0.1033,0.0098,0.9802,0.986
0.083613,-0.0799,0.0227,0.9538,0.957
0.085479,-0.0721,0.0147,0.9413,0.944
0.087575,-0.1297,0.0564,0.9203,0.931
0.089675,-0.1090,0.0486,0.9098,0.918
0.091786,-0.0591,0.0366,0.9122,0.915
0.093906,-0.0467,0.0149,0.9552,0.956
0.095712,-0.0472,0.0046,0.9907,0.992
0.097259,-0.0784,-0.0010,0.9802,0.983
0.100463,-0.1051,0.0205,0.9626,0.968
0.102323,-0.1407,0.0173,0.9147,0.926
0.105586,-0.1283,0.0445,0.9508,0.960
0.105979,-0.1231,0.0408,0.9738,0.982
0.108104,-0.0662,0.0330,0.9494,0.952
0.110688,-0.0472,0.0237,0.9320,0.934
0.111885,-0.0679,0.0176,0.9677,0.970
0.113701,-0.0674,0.0210,1.0290,1.031
0.115915,-0.0577,0.0286,0.9709,0.973
0.118303,-0.1077,0.0420,0.9078,0.915
0.120466,-0.1068,0.0440,0.9113,0.919
0.122846,-0.0674,0.0137,0.9352,0.938
