time,gFx,gFy,gFz,TgF
0.009187,0.0151,0.0213,0.9660,0.966
0.009664,0.0181,0.0137,0.9662,0.966
0.009958,0.0198,0.0112,0.9665,0.967
0.010216,0.0215,0.0056,0.9679,0.968
0.010431,0.0266,0.0005,0.9716,0.972
0.010674,0.0276,-0.0007,0.9723,0.973
0.010849,0.0344,-0.0039,0.9767,0.977
0.011019,0.0386,-0.0083,0.9846,0.985
0.011192,0.0371,-0.0127,0.9919,0.993
0.011370,0.0359,-0.0149,0.9948,0.996
0.011572,0.0344,-0.0159,1.0024,1.003
0.019573,0.0330,-0.0166,1.0131,1.014
0.020099,0.0335,-0.0173,1.0202,1.021
0.020377,0.0322,-0.0120,1.0312,1.032
0.020646,0.0320,-0.0095,1.0432,1.044
0.020888,0.0327,-0.0071,1.0488,1.049
0.022156,0.0337,-0.0024,1.0598,1.060
0.028910,0.0357,0.0002,1.0706,1.071
0.029420,0.0354,0.0012,1.0786,1.079
0.029716,0.0362,0.0022,1.0833,1.084
0.030127,0.0374,0.0020,1.0884,1.089
0.032205,0.0393,0.0022,1.0933,1.094
0.034332,0.0415,0.0007,1.0947,1.096
0.075295,0.0464,-0.0032,1.0969,1.098
0.075603,0.0508,-0.0046,1.0952,1.096
0.075766,0.0528,-0.0107,1.0903,1.092
0.075898,0.0533,-0.0127,1.0889,1.090
0.076016,0.0503,-0.0161,1.0855,1.087
0.076140,0.0474,-0.0176,1.0803,1.082
0.076271,0.0464,-0.0181,1.0779,1.079
0.076393,0.0415,-0.0200,1.0713,1.072
0.076535,0.0354,-0.0173,1.0627,1.063
0.076657,0.0357,-0.0127,1.0561,1.057
0.076772,0.0337,-0.0100,1.0522,1.053
0.076894,0.0305,-0.0032,1.0449,1.045
0.077006,0.0239,0.0049,1.0388,1.039
0.077103,0.0176,0.0093,1.0351,1.035
0.077199,0.0049,0.0188,1.0288,1.029
0.077305,0.0000,0.0276,1.0219,1.022
0.077404,0.0010,0.0303,1.0173,1.018
0.077502,0.0024,0.0359,1.0090,1.010
0.077602,0.0024,0.0393,1.0017,1.002
0.077703,0.0005,0.0410,0.9919,0.993
0.077802,0.0005,0.0408,0.9868,0.988
0.078494,-0.0002,0.0408,0.9780,0.979
0.086107,-0.0015,0.0393,0.9689,0.970
0.086558,-0.0029,0.0398,0.9648,0.966
0.086870,-0.0061,0.0413,0.9565,0.957
0.087085,-0.0039,0.0384,0.9499,0.951
0.093607,-0.0054,0.0371,0.9425,0.943
0.094109,-0.0056,0.0364,0.9391,0.940
0.094344,-0.0061,0.0335,0.9342,0.935
0.094538,-0.0071,0.0310,0.9303,0.931
0.096384,-0.0056,0.0291,0.9303,0.931
0.107075,-0.0027,0.0288,0.9274,0.928
0.107545,-0.0007,0.0259,0.9293,0.930
0.107918,-0.0032,0.0259,0.9311,0.931
0.108214,-0.0042,0.0264,0.9320,0.932
0.108488,-0.0044,0.0259,0.9354,0.936
0.108742,-0.0051,0.0269,0.9406,0.941
0.111129,-0.0032,0.0274,0.9452,0.946
0.113773,0.0000,0.0261,0.9543,0.955
0.114337,0.0007,0.0269,0.9626,0.963
0.116528,0.0012,0.0279,0.9672,0.968
0.118724,-0.0007,0.0283,0.9775,0.978
0.120422,-0.0012,0.0281,0.9843,0.985
0.122313,0.0024,0.0276,0.9892,0.990
0.124471,0.0034,0.0257,0.9914,0.992
0.126558,0.0064,0.0220,0.9980,0.998
0.128530,0.0081,0.0191,0.9985,0.999
0.130503,0.0078,0.0176,0.9997,1.000
0.132688,0.0078,0.0139,0.9995,1.000
0.137673,0.0071,0.0125,0.9955,0.996
0.138134,0.0071,0.0105,0.9933,0.993
0.138460,0.0056,0.0110,0.9929,0.993
0.140520,0.0049,0.0117,0.9897,0.990
0.142731,0.0049,0.0122,0.9850,0.985
0.146273,0.0054,0.0132,0.9821,0.982
0.146847,0.0073,0.0159,0.9775,0.978
0.148837,0.0076,0.0203,0.9736,0.974
0.150849,0.0093,0.0215,0.9706,0.971
0.152898,0.0103,0.0244,0.9694,0.970
0.154537,0.0129,0.0247,0.9684,0.969
0.156894,0.0181,0.0252,0.9689,0.969
0.158547,0.0186,0.0247,0.9692,0.970
0.160520,0.0208,0.0232,0.9684,0.969
0.162644,0.0210,0.0205,0.9677,0.968
0.164412,0.0213,0.0186,0.9672,0.968
0.166328,0.0259,0.0159,0.9697,0.970
0.170361,0.0305,0.0127,0.9745,0.975
0.171007,0.0337,0.0086,0.9799,0.981
0.172899,0.0344,0.0049,0.9828,0.983
0.174741,0.0325,-0.0024,0.9894,0.990
0.177140,0.0286,-0.0081,0.9985,0.999
0.178529,0.0271,-0.0098,1.0039,1.004
0.180709,0.0261,-0.0112,1.0141,1.015
0.182278,0.0286,-0.0147,1.0217,1.022
0.184546,0.0308,-0.0173,1.0317,1.032
0.186664,0.0303,-0.0188,1.0361,1.037
0.189020,0.0281,-0.0217,1.0454,1.046
0.190795,0.0230,-0.0235,1.0532,1.054
0.192723,0.0213,-0.0249,1.0578,1.058
0.194680,0.0213,-0.0227,1.0644,1.065
0.196616,0.0203,-0.0215,1.0679,1.068
0.198402,0.0198,-0.0200,1.0688,1.069
0.201044,0.0186,-0.0171,1.0674,1.068
0.202775,0.0147,-0.0166,1.0649,1.065
0.204828,0.0127,-0.0173,1.0588,1.059
0.206680,0.0120,-0.0151,1.0544,1.055
0.209409,0.0105,-0.0110,1.0451,1.045
0.211255,0.0093,-0.0059,1.0351,1.035
0.213264,0.0088,-0.0046,1.0302,1.030
0.214767,0.0078,0.0015,1.0202,1.020
0.217347,0.0049,0.0090,1.0126,1.013
0.228908,0.0017,0.0166,1.0017,1.002
0.229520,-0.0020,0.0191,0.9973,0.997
0.229805,-0.0068,0.0244,0.9877,0.988
0.230046,-0.0107,0.0300,0.9797,0.980
0.230270,-0.0132,0.0315,0.9750,0.976
0.230492,-0.0171,0.0344,0.9682,0.969
0.230783,-0.0203,0.0371,0.9638,0.965
0.233767,-0.0220,0.0384,0.9569,0.958
0.236381,-0.0215,0.0393,0.9547,0.956
0.236985,-0.0178,0.0371,0.9506,0.951
0.239329,-0.0154,0.0364,0.9499,0.951
0.245644,-0.0149,0.0366,0.9491,0.950
0.246217,-0.0171,0.0332,0.9472,0.948
0.246653,-0.0203,0.0300,0.9464,0.947
0.246957,-0.0210,0.0291,0.9462,0.947
0.248948,-0.0208,0.0274,0.9477,0.948
0.251428,-0.0195,0.0283,0.9494,0.950
0.253300,-0.0166,0.0293,0.9518,0.952
0.255739,-0.0147,0.0300,0.9528,0.953
0.257374,-0.0112,0.0298,0.9543,0.955
0.259390,-0.0107,0.0293,0.9572,0.958
0.261266,-0.0100,0.0296,0.9587,0.959
0.262649,-0.0100,0.0276,0.9591,0.960
0.265304,-0.0064,0.0271,0.9606,0.961
0.266726,-0.0027,0.0274,0.9635,0.964
0.269449,0.0005,0.0266,0.9638,0.964
0.271281,0.0064,0.0249,0.9643,0.965
0.272908,0.0129,0.0244,0.9640,0.964
0.275224,0.0154,0.0247,0.9638,0.964
0.277025,0.0217,0.0235,0.9621,0.963
0.279146,0.0242,0.0213,0.9618,0.962
